订单号,订单日期,顾客姓名,订单等级,订单数量,销售额,折扣点,运输方式,利润额,单价,运输成本,区域,省份,城市,产品类别,产品子类别,产品名称,产品包箱,运送日期
3588,2015/3/18,周桐  ,其它,21,1557.42,0.01,火车,-123.81,73.98,4,华北,北京,北京 ,技术产品,电脑配件,Keytronic French Keyboard,小型箱子,2015/3/20
3588,2015/3/18,周桐  ,其它,14,410.27,0.08,火车,226.72,30.93,3.92,华北,天津,天津 ,家具产品,办公装饰品,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",小型包裹,2015/3/20
3588,2015/3/18,周桐  ,其它,18,1531.93,0.1,大卡,326.56,90.97,14,华北,天津,天津 ,技术产品,办公机器,Lexmark Z54se Color Inkjet Printer,巨型木箱,2015/3/18
3589,2013/5/25,朱华强,高级,23,72.93,0.01,火车,28.55,3.15,0.49,华北,天津,天津 ,办公用品,标签,Self-Adhesive Removable Labels,小型箱子,2013/5/27
3591,2014/12/7,秦晴,中级,3,321.57,0.01,大卡,-100.05,100.98,15.66,华北,北京,北京 ,办公用品,家用电器,Avanti 1.7 Cu. Ft. Refrigerator,巨型木箱,2014/12/9
3591,2014/12/7,秦晴,中级,12,1085.16,0.08,大卡,-311.54,89.99,42,华东,浙江,宁波,家具产品,椅子,"Global Leather Task Chair, Black",巨型木箱,2014/12/8
3621,2014/5/5,赵丽,中级,14,83.87,0.06,火车,-28.83,5.58,5.3,华东,浙江,宁波,办公用品,信封,Staples Brown Kraft Recycled Clasp Envelopes,小型箱子,2014/5/6
3622,2015/11/26,胡洋,低级,16,76.6,0.01,火车,-48.507,4.24,5.41,华东,山东,菏泽,办公用品,夹子及其配件 ,Storex DuraTech Recycled Plastic Frosted Binders,小型箱子,2015/12/1
3648,2014/6/16,景珑,低级,46,134.81,0.1,火车,52.36,3.15,0.49,华东,浙江,宁波,办公用品,标签,Self-Adhesive Removable Labels,小型箱子,2014/6/18
3648,2014/6/16,景珑,低级,34,5488.5265,0.05,火车,1382.445,195.99,4.2,华东,浙江,宁波,技术产品,电话通信产品,KH 688,小型箱子,2014/6/23
3649,2013/7/5,吕果 ,低级,8,79.42,0.01,火车,-15.456,8.88,6.28,华东,安徽,芜湖,办公用品,夹子及其配件 ,GBC Instant Index? System for Binding Systems,小型箱子,2013/7/10
3649,2013/7/5,吕果 ,低级,26,75.6,0.06,火车,17.14,2.88,0.99,华东,Jiangsu,南京,办公用品,标签,Avery 514,小型箱子,2013/7/14
3650,2016/5/27,朱海燕,其它,36,139.95,0.04,空运,-128.593,3.58,5.47,华南,广东,潮州,办公用品,夹子及其配件 ,Avery Poly Binder Pockets,小型箱子,2016/5/29
3650,2016/5/27,朱海燕,其它,24,5207.5,0.03,大卡,166.44,216.6,64.2,华南,广东,潮州,家具产品,椅子,Hon Multipurpose Stacking Arm Chairs,巨型木箱,2016/5/29
3653,2013/3/26,吴敏敏,中级,41,271.11,0.08,火车,64.79,6.68,1.5,华南,广东,潮州,办公用品,笔、美术用品,Sanford Liquid Accent Highlighters,打包纸袋,2013/3/28
3654,2016/6/2,贾明波,低级,41,95.73,0,火车,-151.15,2.08,5.33,华南,广东,潮州,家具产品,办公装饰品,Eldon? Wave Desk Accessories,小型箱子,2016/6/7
3654,2016/6/2,贾明波,低级,39,7338.79,0.03,火车,4031.62,204.1,13.99,华南,湖北,武汉,技术产品,办公机器,"Soundgear Copyboard Conference Phone, Optional Battery",中型箱子,2016/6/7
3654,2016/6/2,贾明波,低级,47,12569.31,0.1,大卡,3160.63,279.81,23.19,华南,广东,潮州,办公用品,家用电器,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,巨型木箱,2016/6/2
3655,2016/10/5,王仲奇,中级,3,62.54,0.02,火车,-30.7395,15.99,13.18,华南,广东,潮州,办公用品,夹子及其配件 ,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",小型箱子,2016/10/5
3655,2016/10/5,王仲奇,中级,24,2750.107,0,火车,600.417,125.99,7.69,华南,广东,潮州,技术产品,电话通信产品,Timeport L7089,小型箱子,2016/10/6
3680,2016/12/9,李国平,其它,27,177.95,0.09,火车,-61.75,6.48,6,华南,河南,郑州,办公用品,纸张,Xerox 2,小型箱子,2016/12/11
3680,2016/12/9,李国平,其它,24,99.53,0.1,空运,18.2835,3.8,1.49,华南,河南,郑州,办公用品,夹子及其配件 ,Durable Pressboard Binders,小型箱子,2016/12/11
3685,2016/1/16,蔡松敏,中级,29,106.78,0,火车,-98.05,3.28,5,东北,辽宁,沈阳,办公用品,笔、美术用品,Newell 35,打包纸袋,2016/1/17
3687,2014/2/2,谢浩,中级,25,79.37,0.07,火车,6.14,3.29,1.35,西南,四川,广安,办公用品,橡皮筋,Acco? Hot Clips? Clips to Go,打包纸袋,2014/2/2
3745,2014/9/28,赵名东,低级,38,1143.35,0.04,空运,411.1,29.18,8.55,华南,河南,郑州,家具产品,办公装饰品,"Deflect-o SuperTray? Unbreakable Stackable Tray, Letter, Black",小型箱子,2014/9/30
3746,2013/9/10,胡巴朗,其它,14,1463.0965,0,火车,162.666,115.99,2.5,华东,山东,菏泽,技术产品,电话通信产品,6160,小型箱子,2013/9/10
3746,2013/9/10,胡巴朗,其它,38,246.3,0.02,火车,-67.49,5.98,5.79,华东,江西,南昌,办公用品,纸张,Xerox 1903,小型箱子,2013/9/11
3749,2015/2/23,王忠敏,中级,27,353.62,0.01,火车,140.148,12.97,1.49,华东,安徽,芜湖,办公用品,夹子及其配件 ,"Mead 1st Gear 2"" Zipper Binder, Asst. Colors",小型箱子,2015/2/25
3750,2015/4/29,展大鹏,中级,12,76.16,0.04,火车,-24.03,5.98,5.2,华北,北京,北京 ,办公用品,纸张,Xerox 1992,小型箱子,2015/5/1
3777,2013/4/7,邱钰,中级,14,244.85,0.06,空运,38.06,17.67,8.99,西北,宁夏,银川,家具产品,办公装饰品,Executive Impressions 12" Wall Clock,小型包裹,2013/4/8
3778,2014/5/25,赵刚,中级,34,268.09,0.07,火车,-63.76,8.32,2.38,华东,浙江,宁波,技术产品,电脑配件,"Imation 3.5 IBM Formatted Diskettes, 10/Box",小型包裹,2014/5/27
3778,2014/5/25,赵刚,中级,12,557.03,0.04,火车,8.95,45.19,1.99,华南,广东,潮州,技术产品,电脑配件,"Verbatim DVD-RAM, 9.4GB, Rewritable, Type 1, DS, DataLife Plus",小型包裹,2014/5/26
3778,2014/5/25,赵刚,中级,3,26.53,0.05,火车,-15,6.68,6.92,华北,山西,太原,办公用品,纸张,Xerox 1898,小型箱子,2014/5/26
3778,2014/5/25,赵刚,中级,34,5133.9235,0.02,火车,1313.946,175.99,4.99,华北,山西,太原,技术产品,电话通信产品,5165,小型箱子,2014/5/26
3783,2014/12/5,何春梅,其它,11,92.14,0.01,火车,-40.25,8.12,2.83,东北,辽宁,沈阳,技术产品,电脑配件,"Imation Neon Mac Format Diskettes, 10/Pack",小型包裹,2014/12/5
3783,2014/12/5,何春梅,其它,40,257.43,0.05,火车,-200.63,6.48,8.73,东北,黑龙江,齐齐哈尔,办公用品,纸张,Xerox 227,小型箱子,2014/12/7
3808,2013/4/23,吴敏敏,中级,2,6.13,0.08,火车,-2.83,2.89,0.49,华南,湖北,武汉,办公用品,标签,*Staples* Packaging Labels,小型箱子,2013/4/23
3810,2016/9/16,王国宇,中级,40,221.86,0.09,火车,-1845.66,4.48,49,华北,天津,天津 ,办公用品,家用电器,Hoover Portapower? Portable Vacuum,大型箱子,2016/9/18
3810,2016/9/16,王国宇,中级,25,78.26,0.04,空运,35.09,2.61,0.5,西北,甘肃,兰州,办公用品,标签,Avery 479,小型箱子,2016/9/18
3814,2015/2/21,张兴胜,低级,43,1225.41,0.04,空运,-138.02,28.28,13.99,西北,甘肃,兰州,办公用品,容器，箱子,Eldon Portable Mobile Manager,中型箱子,2015/2/27
3841,2013/10/4,吴媛丽,其它,19,1184.45,0.02,火车,-552.1,60.98,49,西北,宁夏,银川,办公用品,家用电器,Euro Pro Shark Stick Mini Vacuum,大型箱子,2013/10/6
3841,2013/10/4,吴媛丽,其它,20,25409.63,0.02,火车,11535.282,1270.99,19.99,华东,浙江,宁波,办公用品,夹子及其配件 ,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,小型箱子,2013/10/6
3841,2013/10/4,吴媛丽,其它,43,7308.283,0.05,空运,1680.228,205.99,8.99,华东,浙江,宁波,技术产品,电话通信产品,StarTAC 8000,小型箱子,2013/10/6
3845,2016/4/25,马小林,中级,9,3064.27,0.09,火车,294.39,363.25,19.99,华东,浙江,宁波,办公用品,家用电器,Hoover WindTunnel? Plus Canister Vacuum,小型箱子,2016/4/25
3845,2016/4/25,马小林,中级,22,475.72,0.02,火车,-10.4,19.98,10.49,华东,浙江,温州,家具产品,办公装饰品,12-1/2 Diameter Round Wall Clock,小型箱子,2016/4/27
3845,2016/4/25,马小林,中级,15,123.91,0.09,火车,39.04,8.34,0.96,华东,安徽,芜湖,家具产品,办公装饰品,Document Clip Frames,打包纸袋,2016/4/26
3877,2014/5/20,张翼 ,低级,14,700.46,0.02,空运,254.31,48.04,7.23,华东,福建,福州,办公用品,纸张,Xerox 1885,小型箱子,2014/5/20
3905,2014/12/20,汤明华,其它,42,2537.88,0.03,大卡,-377.25,60.89,32.41,华南,广东,潮州,家具产品,椅子,"Global Push Button Manager's Chair, Indigo",巨型木箱,2014/12/21
3907,2016/8/18,邱宇华,中级,36,218.12,0.02,火车,-1642.65,4.48,49,华南,湖北,武汉,办公用品,家用电器,Hoover Portapower? Portable Vacuum,大型箱子,2016/8/18
3907,2016/8/18,邱宇华,中级,34,729.83,0.07,火车,-135.102,22.38,15.1,华南,广东,潮州,办公用品,夹子及其配件 ,"Avery Flip-Chart Easel Binder, Black",小型箱子,2016/8/20
3907,2016/8/18,邱宇华,中级,36,1083.19,0.03,空运,214.61,29.99,5.5,华南,广东,潮州,技术产品,电脑配件,Logitech Cordless Access Keyboard,小型箱子,2016/8/19
3908,2014/3/8,周剑宇,中级,8,820.284,0,火车,-180.202,115.99,2.5,华东,浙江,温州,技术产品,电话通信产品,6160,小型箱子,2014/3/8
3911,2015/3/16,夏建东,其它,24,370.72,0.1,火车,-156.76,15.7,11.25,华东,安徽,芜湖,办公用品,容器，箱子,Hanging Personal Folder File,小型箱子,2015/3/16
3942,2014/6/27,赵金龙,其它,11,225.14,0.08,火车,-42.61,20.15,8.99,东北,黑龙江,齐齐哈尔,办公用品,笔、美术用品,Boston 19500 Mighty Mite Electric Pencil Sharpener,小型包裹,2014/6/28
3942,2014/6/27,赵金龙,其它,22,1559.7755,0.03,火车,-247.181,85.99,0.99,华南,广西,柳州,技术产品,电话通信产品,Accessory4,打包纸袋,2014/6/28
3970,2016/3/26,邱中立,中级,39,1032.97,0.07,火车,397.15,28.48,1.99,华南,广西,柳州,技术产品,电脑配件,"Memorex 4.7GB DVD+RW, 3/Pack",小型包裹,2016/3/28
3970,2016/3/26,邱中立,中级,13,324.83,0.05,大卡,-426.54,20.98,45,华东,福建,福州,办公用品,容器，箱子,"Tennsco Lockers, Sand",巨型木箱,2016/3/27
3973,2016/3/23,夏虎,其它,21,316.35,0.06,火车,117.91,15.68,3.73,华南,广西,柳州,家具产品,办公装饰品,Artistic Insta-Plaque,小型包裹,2016/3/25
4004,2014/5/6,艾楠丽,中级,14,63.52,0.1,火车,8.66,4.84,0.71,华南,广东,潮州,办公用品,笔、美术用品,*Staples* Highlighting Markers,打包纸袋,2014/5/9
4004,2014/5/6,艾楠丽,中级,44,1512.25,0.05,火车,195.48,34.58,8.99,华北,北京,北京 ,办公用品,笔、美术用品,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,小型包裹,2014/5/7
4006,2015/1/3,张婷莹,中级,38,1441.61,0.06,火车,624.84,37.94,5.08,华北,河北,石家庄,办公用品,纸张,"Snap-A-Way? Black Print Carbonless Ruled Speed Letter, Triplicate",打包纸袋,2015/1/4
4007,2014/6/17,张广庆,高级,18,1038.4,0.01,火车,112.36,56.96,13.22,华南,海南,海口,办公用品,家用电器,"Conquest? 14 Commercial Heavy-Duty Upright Vacuum, Collection System, Accessory Kit",小型箱子,2014/6/18
4007,2014/6/17,张广庆,高级,1,305.82,0.05,火车,-232.24,279.48,35,西北,甘肃,兰州,办公用品,容器，箱子,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",大型箱子,2014/6/18
4033,2014/6/1,夏羽 ,低级,21,763.12,0.03,火车,140.33,34.76,5.49,西北,甘肃,兰州,办公用品,容器，箱子,Home/Office Personal File Carts,小型箱子,2014/6/3
4033,2014/6/1,夏羽 ,低级,38,19269.05,0,大卡,4127.79,500.98,41.44,西北,甘肃,兰州,家具产品,书架,DMI Eclipse Executive Suite Bookcases,巨型纸箱,2014/6/8
4034,2014/11/13,邱景涛,其它,44,3367.24,0.07,火车,-1183.69,79.52,48.2,西北,甘肃,兰州,家具产品,办公装饰品,Eldon Cleatmat Plus? Chair Mats for High Pile Carpets,中型箱子,2014/11/14
4034,2014/11/13,邱景涛,其它,37,5723.24,0,大卡,-194.967,145.98,51.92,西北,甘肃,兰州,家具产品,桌子,Bevis Rectangular Conference Tables,巨型纸箱,2014/11/14
4037,2014/3/23,孙虎,高级,27,188.07,0,火车,-101.85,6.48,7.86,华东,浙江,温州,办公用品,纸张,Xerox 213,小型箱子,2014/3/24
4067,2016/10/6,赵和,高级,16,118.38,0.04,火车,-42.458,7.1,6.05,华南,广东,潮州,办公用品,夹子及其配件 ,"Wilson Jones Hanging View Binder, White, 1""",小型箱子,2016/10/8
4069,2016/5/12,郑帅,中级,8,54.43,0.08,火车,-31.63,6.48,6.74,华北,河北,石家庄,办公用品,纸张,Xerox 215,小型箱子,2016/5/14
4069,2016/5/12,郑帅,中级,47,124.94,0.1,空运,-2.4,2.78,1.34,华北,山西,太原,办公用品,笔、美术用品,Prang Drawing Pencil Set,打包纸袋,2016/5/12
4069,2016/5/12,郑帅,中级,30,78.46,0.05,火车,18.57,2.62,0.8,华北,内蒙古,呼和浩特,办公用品,橡皮筋,Staples Metal Binder Clips,打包纸袋,2016/5/15
4070,2015/6/11,李青,高级,22,646.07,0.06,空运,237.75,28.48,1.99,华北,内蒙古,呼和浩特,技术产品,电脑配件,"Memorex 4.7GB DVD+RW, 3/Pack",小型包裹,2015/6/11
4096,2016/7/2,吕大强,其它,21,128.28,0.04,火车,53.58,6.3,0.5,华北,内蒙古,呼和浩特,办公用品,标签,Avery 51,小型箱子,2016/7/3
4099,2016/8/20,魏学涛,中级,42,1691.51,0.08,火车,285.16,42.76,6.22,东北,辽宁,沈阳,办公用品,容器，箱子,"SAFCO Mobile Desk Side File, Wire Frame",小型箱子,2016/8/21
4099,2016/8/20,魏学涛,中级,12,122.93,0.04,火车,-6.83,9.78,5.76,东北,辽宁,沈阳,办公用品,信封,"Staples #10 Laser & Inkjet Envelopes, 4 1/8"" x 9 1/2"", 100/Box",小型箱子,2016/8/23
4099,2016/8/20,魏学涛,中级,4,47.86,0,火车,-17.32,9.48,7.29,东北,辽宁,沈阳,家具产品,办公装饰品,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",小型包裹,2016/8/21
4099,2016/8/20,魏学涛,中级,39,3607.8505,0.05,火车,784.494,110.99,8.99,东北,吉林,长春,技术产品,电话通信产品,LX 677,小型箱子,2016/8/22
4103,2016/7/2,朱华强,低级,3,42.5,0.07,火车,-28.43,11.66,8.99,东北,黑龙江,齐齐哈尔,办公用品,笔、美术用品,Boston 16765 Mini Stand Up Battery Pencil Sharpener,小型包裹,2016/7/6
4128,2015/10/6,吴小莹,其它,38,391.42,0.04,火车,25.03,9.99,5.12,东北,黑龙江,齐齐哈尔,办公用品,纸张,Xerox 1948,小型箱子,2015/10/8
4132,2015/5/28,柳小山,其它,5,14.76,0.01,火车,1.32,2.88,0.5,西南,四川,广安,办公用品,标签,Avery 49,小型箱子,2015/5/30
4134,2015/1/11,宗峰岩,中级,48,6403.39,0.01,大卡,-824.15,130.98,54.74,西南,重庆,重庆,家具产品,书架,"O'Sullivan Elevations Bookcase, Cherry Finish",巨型纸箱,2015/1/13
4134,2015/1/11,宗峰岩,中级,23,757.91,0.02,火车,-16.05,30.97,4,华南,海南,海口,技术产品,电脑配件,Microsoft Multimedia Keyboard,小型箱子,2015/1/11
4162,2016/2/9,吴可飞,低级,2,381.6,0.1,火车,-319.02,193.17,19.99,华南,广西,柳州,办公用品,容器，箱子,Fellowes Staxonsteel? Drawer Files,小型箱子,2016/2/13
4166,2014/2/27,陈鸿建 ,低级,19,138.85,0.08,火车,-49.3465,7.1,6.05,华南,河南,郑州,办公用品,夹子及其配件 ,"Wilson Jones Hanging View Binder, White, 1""",小型箱子,2014/2/27
4193,2013/1/8,王彪,高级,16,64.29,0.07,火车,14.42,4.13,0.99,华南,广西,柳州,办公用品,标签,Avery 491,小型箱子,2013/1/8
4193,2013/1/8,王彪,高级,3,75.77,0.03,火车,64.25,22.72,8.99,华东,福建,福州,家具产品,办公装饰品,Executive Impressions 14" Two-Color Numerals Wall Clock,小型包裹,2013/1/8
4195,2014/5/28,谢仲瑜,其它,30,255.74,0.07,火车,37.09,8.5,1.99,华北,北京,北京 ,技术产品,电脑配件,Hewlett-Packard 4.7GB DVD+R Discs,小型包裹,2014/5/30
4199,2016/2/12,孙建东,中级,43,639.71,0.01,空运,102.53,14.2,5.3,华东,浙江,温州,家具产品,办公装饰品,Coloredge Poster Frame,打包纸袋,2016/2/13
4230,2016/3/3,胡广宇,中级,18,409.16,0.05,火车,21.96,22.72,8.99,华东,安徽,芜湖,家具产品,办公装饰品,Executive Impressions 14" Two-Color Numerals Wall Clock,小型包裹,2016/3/4
4230,2016/3/3,胡广宇,中级,46,2508.316,0.07,空运,456.813,65.99,8.99,华东,Jiangsu,南京,技术产品,电话通信产品,5180,小型箱子,2016/3/5
4257,2015/3/24,张玉,中级,45,253.89,0.01,火车,-83.66,5.58,5.3,华南,广东,潮州,办公用品,信封,Staples Brown Kraft Recycled Clasp Envelopes,小型箱子,2015/3/26
4261,2016/10/2,韩庆峰,中级,22,1556.87,0.04,大卡,-521.42,68.81,60,华南,广东,潮州,办公用品,家用电器,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",巨型木箱,2016/10/3
4261,2016/10/2,韩庆峰,中级,33,195.98,0.08,火车,-71.47,5.98,5.35,华南,广东,潮州,办公用品,纸张,Xerox 1947,小型箱子,2016/10/4
4261,2016/10/2,韩庆峰,中级,32,9235.97,0.04,火车,2848.17,300.65,24.49,华南,广东,潮州,办公用品,家用电器,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,大型箱子,2016/10/4
4261,2016/10/2,韩庆峰,中级,48,274.38,0.04,火车,-94.82,5.78,5.37,西南,重庆,重庆,办公用品,纸张,Xerox 1950,小型箱子,2016/10/4
4294,2016/8/14,蔡松敏,中级,8,17.72,0.02,火车,-15.34,1.74,4.08,华东,江西,南昌,家具产品,办公装饰品,"Eldon Regeneration Recycled Desk Accessories, Smoke",小型包裹,2016/8/16
4321,2013/7/17,黄东亮,中级,47,1505.57,0.02,空运,-54.63,30.53,19.99,东北,辽宁,沈阳,办公用品,标签,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",小型箱子,2013/7/19
4324,2015/7/16,高云安,中级,28,1165.33,0.04,火车,154.85,40.97,8.99,华南,海南,海口,办公用品,笔、美术用品,Sanford 52201 APSCO Electric Pencil Sharpener,小型包裹,2015/7/18
4354,2013/9/29,赵晓平 ,其它,6,49.04,0.02,火车,7.74,7.38,5.21,华南,海南,海口,家具产品,办公装饰品,"Eldon? Expressions? Wood Desk Accessories, Oak",小型箱子,2013/9/30
4359,2014/3/2,赵瑞,中级,21,215.76,0.09,火车,-97.75,10.9,7.46,华南,广东,潮州,办公用品,容器，箱子,Crate-A-Files?,小型箱子,2014/3/4
4387,2015/10/22,夏虎,中级,4,640.21,0.07,大卡,-388.5167,150.98,39.25,华南,广东,潮州,家具产品,桌子,Iceberg OfficeWorks 42" Round Tables,巨型纸箱,2015/10/23
4389,2013/5/4,徐艳红,中级,35,179.45,0.07,火车,-116.3455,5.34,5.63,西南,四川,广安,办公用品,夹子及其配件 ,"Pressboard Data Binder, Crimson, 12"" X 8 1/2""",小型箱子,2013/5/6
4389,2013/5/4,徐艳红,中级,49,7987.43,0.03,大卡,1304.9,160.98,30,华北,北京,北京 ,家具产品,椅子,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,巨型木箱,2013/5/5
4389,2013/5/4,徐艳红,中级,42,2455.276,0.04,空运,693.063,65.99,5.63,华东,浙江,温州,技术产品,电话通信产品,2190,小型箱子,2013/5/4
4391,2016/2/17,杨波,高级,20,2592.432,0.06,火车,428.472,155.99,3.9,华北,内蒙古,呼和浩特,技术产品,电话通信产品,T39m,小型箱子,2016/2/19
4416,2016/6/29,赵江玲,低级,46,7441.29,0.1,火车,2665.396,165.98,19.99,华北,内蒙古,呼和浩特,办公用品,夹子及其配件 ,GBC DocuBind P100 Manual Binding Machine,小型箱子,2016/7/3
4422,2015/5/21,卢文聪  ,中级,12,313.43,0.02,火车,104.03,25.38,8.99,华北,山西,太原,家具产品,办公装饰品,Executive Impressions 13" Chairman Wall Clock,小型包裹,2015/5/21
4422,2015/5/21,卢文聪  ,中级,17,390.11,0.02,火车,-19.92,21.38,8.99,华北,河北,石家庄,办公用品,笔、美术用品,Boston 1730 StandUp Electric Pencil Sharpener,小型包裹,2015/5/21
4451,2013/9/30,王国宇,中级,47,992.95,0.04,火车,-65.21,21.38,8.99,华北,山西,太原,办公用品,笔、美术用品,Boston 1730 StandUp Electric Pencil Sharpener,小型包裹,2013/9/30
4454,2013/2/1,赵江玲,低级,17,55.45,0.01,火车,21.42,3.08,0.5,华北,内蒙古,呼和浩特,办公用品,标签,Avery 497,小型箱子,2013/2/6
4455,2014/10/10,周庄,中级,39,279.29,0.07,火车,14.15,7.59,4,东北,辽宁,沈阳,家具产品,办公装饰品,"Master Giant Foot? Doorstop, Safety Yellow",打包纸袋,2014/10/12
4487,2014/2/22,赵斐,中级,50,325.24,0.05,火车,-79.419,6.54,5.27,东北,吉林,长春,办公用品,夹子及其配件 ,Wilson Jones? Four-Pocket Poly Binders,小型箱子,2014/2/23
4512,2015/10/24,王彪,低级,43,6077.11,0.06,大卡,-353.659878,146.34,43.75,东北,辽宁,沈阳,家具产品,桌子,Bevis Round Conference Table Top & Single Column Base,巨型纸箱,2015/10/29
4514,2013/4/29,于小丹,中级,28,2841.4395,0.08,火车,374.625,125.99,7.69,东北,吉林,长春,技术产品,电话通信产品,StarTAC 3000,小型箱子,2013/4/30
4515,2016/3/16,张力华,中级,7,887.94,0.02,火车,49.45,120.97,7.11,东北,黑龙江,齐齐哈尔,技术产品,办公机器,Canon BP1200DH 12-Digit Bubble Jet Printing Calculator,中型箱子,2016/3/17
4516,2013/3/28,张江亭,中级,42,294.78,0.05,火车,-113.45,6.68,6.93,东北,黑龙江,齐齐哈尔,办公用品,纸张,HP Office Paper (20Lb. and 87 Bright),小型箱子,2013/3/29
4545,2014/1/16,黄东亮,其它,33,126.38,0.08,火车,26.64,4,1.3,东北,吉林,长春,办公用品,纸张,EcoTones? Memo Sheets,打包纸袋,2014/1/18
4545,2014/1/16,黄东亮,其它,4,33.1,0.06,火车,-24.15,6.48,8.74,西南,贵州,贵阳,办公用品,纸张,Xerox 1984,小型箱子,2014/1/17
4550,2013/12/28,宋小俊,高级,32,3730.54,0.07,大卡,1369.09,119.99,16.8,华南,广西,柳州,技术产品,办公机器,Epson C62 Color Inkjet Printer,巨型纸箱,2013/12/30
4578,2016/9/12,刘小俊,低级,45,282.71,0.09,火车,-141.44,6.48,6.74,华南,广西,柳州,办公用品,纸张,Xerox 215,小型箱子,2016/9/17
4578,2016/9/12,刘小俊,低级,48,724.13,0.01,火车,-250.53,14.81,13.32,华南,广西,柳州,办公用品,家用电器,"Holmes Replacement Filter for HEPA Air Cleaner, Large Room",小型箱子,2016/9/19
4578,2016/9/12,刘小俊,低级,15,294.66,0.07,火车,86.33,20.24,6.67,华南,河南,郑州,家具产品,办公装饰品,"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",小型包裹,2016/9/19
4579,2015/11/30,朱伟,高级,40,1765.05,0.05,火车,749.2155,43.41,2.99,华南,广西,柳州,办公用品,夹子及其配件 ,Satellite Sectional Post Binders,小型箱子,2015/12/1
4580,2014/11/14,张婷,其它,28,7384.54,0.09,大卡,-2301.5278,280.98,81.98,华南,河南,郑州,家具产品,桌子,Global Adaptabilities? Conference Tables,巨型纸箱,2014/11/15
4581,2016/9/3,闯洋,其它,25,2325.42,0.02,火车,739.91,90.48,19.99,华南,广西,柳州,办公用品,信封,Tyvek? Side-Opening Peel & Seel? Expanding Envelopes,小型箱子,2016/9/5
4583,2013/9/24,艾梅芳,中级,44,3021.64,0.07,大卡,-720.2,70.98,30,华南,海南,海口,家具产品,椅子,Novimex Turbo Task Chair,巨型木箱,2013/9/26
4610,2014/6/17,蒋曦生,低级,8,66.88,0.09,火车,-17.01,8.33,1.99,华北,天津,天津 ,技术产品,电脑配件,"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",小型包裹,2014/6/19
4610,2014/6/17,蒋曦生,低级,29,447.34,0.08,火车,203.01,15.67,1.39,西北,甘肃,兰州,办公用品,信封,"#10 White Business Envelopes,4 1/8 x 9 1/2",小型箱子,2014/6/21
4611,2014/1/9,胡洋,高级,32,16172.44,0.03,大卡,7176.12,500.98,28.14,西北,青海,西宁,技术产品,办公机器,"Hewlett-Packard cp1700 [D, PS] Series Color Inkjet Printers",巨型木箱,2014/1/9
4612,2014/9/19,邹捷瑜,中级,9,89.55,0.06,火车,-375.64,4.48,49,西北,陕西,西安,办公用品,家用电器,Hoover Portapower? Portable Vacuum,大型箱子,2014/9/21
4642,2015/2/26,赵和,中级,9,65.61,0.08,火车,-39.74,7.28,3.52,华东,山东,菏泽,技术产品,电脑配件,"Imation 3.5"" DS-HD Macintosh Formatted Diskettes, 10/Pack",小型包裹,2015/2/27
4642,2015/2/26,赵和,中级,21,309.62,0,空运,-80.2,14.03,9.37,华东,浙江,温州,办公用品,容器，箱子,Project Tote Personal File,小型箱子,2015/2/26
4645,2013/9/19,吴胡媛,中级,30,920,0.08,火车,-45.07,30.73,4,华东,山东,菏泽,技术产品,电脑配件,Fellowes 17-key keypad for PS/2 interface,小型箱子,2013/9/19
4645,2013/9/19,吴胡媛,中级,7,104.2,0.05,火车,-8.53,14.56,3.5,华东,浙江,温州,办公用品,家用电器,Acco 6 Outlet Guardian Premium Surge Suppressor,小型箱子,2013/9/21
4645,2013/9/19,吴胡媛,中级,11,3563.88,0,火车,285.95,299.99,11.64,华东,浙江,温州,技术产品,复印机、传真机,Brother DCP1000 Digital 3 in 1 Multifunction Machine,大型箱子,2013/9/21
4647,2013/5/13,杨青烦,中级,33,1590.163,0.01,火车,-57.541,55.99,5,华东,安徽,芜湖,技术产品,电话通信产品,Accessory6,小型包裹,2013/5/14
4647,2013/5/13,杨青烦,中级,34,482.93,0.06,火车,-67.59,13.9,7.59,华东,江西,南昌,办公用品,剪刀，尺子，锯,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",小型包裹,2013/5/14
4647,2013/5/13,杨青烦,中级,7,1203.73,0.03,火车,293.14,162.93,19.99,华东,Jiangsu,南京,办公用品,信封,Multimedia Mailers,小型箱子,2013/5/14
